ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60827,34,08/21/2022,08/27/2022,7,1107,24,3873.7,,813,0,2844.9,0.0,0.1,0,19,0.0,66.5,28577,60827-2022-34,POINT (-87.633087 41.650765)
60666,36,09/04/2022,09/10/2022,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2022-36,POINT (-87.896371 41.979511)
60707,16,04/17/2022,04/23/2022,19,4300,44,9995.6,,4399,0,10225.7,0.0,0.1,0,61,0.0,141.8,43019,60707-2022-16,POINT (-87.808283 41.921777)
60604,3,01/16/2022,01/22/2022,15,312,1918,39897.7,253,11236,32353,1436829,0.1,0.0,0,0,0.0,0.0,782,60604-2022-3,POINT (-87.629029 41.878153)
60707,17,04/24/2022,04/30/2022,20,4320,46,10042.1,,4400,0,10228,0.0,0.1,0,61,0.0,141.8,43019,60707-2022-17,POINT (-87.808283 41.921777)
60707,18,05/01/2022,05/07/2022,36,4356,84,10125.8,,4400,0,10228,0.0,0.1,0,61,0.0,141.8,43019,60707-2022-18,POINT (-87.808283 41.921777)
60604,9,02/27/2022,03/05/2022,0,329,0,42071.6,129,12354,16496,1579795,0.0,0.0,0,0,0.0,0.0,782,60604-2022-9,POINT (-87.629029 41.878153)
60618,21,05/17/2020,05/23/2020,141,1103,149,1168.5,1063,5251,1126,5562.8,0.2,0.2,4,35,4.2,37.1,94395,60618-2020-21,POINT (-87.703343 41.946699)
60618,22,05/24/2020,05/30/2020,103,1206,109,1277.6,1093,6344,1158,6720.7,0.1,0.2,3,38,3.2,40.3,94395,60618-2020-22,POINT (-87.703343 41.946699)
60618,23,05/31/2020,06/06/2020,61,1267,65,1342.2,940,7284,996,7716.5,0.1,0.2,2,40,2.1,42.4,94395,60618-2020-23,POINT (-87.703343 41.946699)
60618,24,06/07/2020,06/13/2020,54,1321,57,1399.4,1296,8580,1373,9089.5,0.1,0.2,2,42,2.1,44.5,94395,60618-2020-24,POINT (-87.703343 41.946699)
60618,25,06/14/2020,06/20/2020,50,1371,53,1452.4,1292,9872,1369,10458.2,0.1,0.2,5,47,5.3,49.8,94395,60618-2020-25,POINT (-87.703343 41.946699)
60707,19,05/08/2022,05/14/2022,46,4402,107,10232.7,,4401,0,10230.4,0.0,0.1,0,61,0.0,141.8,43019,60707-2022-19,POINT (-87.808283 41.921777)
60609,22,05/24/2020,05/30/2020,137,1687,223,2743.3,868,5638,1412,9168.2,0.2,0.3,7,57,11.4,92.7,61495,60609-2020-22,POINT (-87.653382 41.812017)
60609,23,05/31/2020,06/06/2020,53,1740,86,2829.5,689,6327,1120,10288.6,0.1,0.3,6,63,9.8,102.4,61495,60609-2020-23,POINT (-87.653382 41.812017)
60609,24,06/07/2020,06/13/2020,46,1786,75,2904.3,642,6969,1044,11332.6,0.1,0.3,2,65,3.3,105.7,61495,60609-2020-24,POINT (-87.653382 41.812017)
60609,25,06/14/2020,06/20/2020,27,1813,44,2948.2,863,7832,1403,12736,0.1,0.2,4,69,6.5,112.2,61495,60609-2020-25,POINT (-87.653382 41.812017)
60609,26,06/21/2020,06/27/2020,40,1853,65,3013.3,954,8786,1551,14287.3,0.0,0.2,2,71,3.3,115.5,61495,60609-2020-26,POINT (-87.653382 41.812017)
60609,27,06/28/2020,07/04/2020,44,1897,72,3084.8,887,9673,1442,15729.7,0.1,0.2,2,73,3.3,118.7,61495,60609-2020-27,POINT (-87.653382 41.812017)
60609,32,08/02/2020,08/08/2020,53,2156,86,3506,996,14638,1620,23803.6,0.1,0.2,0,77,0.0,125.2,61495,60609-2020-32,POINT (-87.653382 41.812017)
60609,33,08/09/2020,08/15/2020,56,2212,91,3597,1343,15981,2184,25987.5,0.1,0.1,1,78,1.6,126.8,61495,60609-2020-33,POINT (-87.653382 41.812017)
60609,34,08/16/2020,08/22/2020,79,2291,128,3725.5,1385,17366,2252,28239.7,0.1,0.1,1,79,1.6,128.5,61495,60609-2020-34,POINT (-87.653382 41.812017)
60609,37,09/06/2020,09/12/2020,50,2465,81,4008.5,1104,20786,1795,33801.1,0.0,0.1,2,81,3.3,131.7,61495,60609-2020-37,POINT (-87.653382 41.812017)
60609,38,09/13/2020,09/19/2020,48,2513,78,4086.5,1271,22057,2067,35868,0.0,0.1,0,81,0.0,131.7,61495,60609-2020-38,POINT (-87.653382 41.812017)
60612,11,03/08/2020,03/14/2020,,,,,12,13,35,37.9,0.0,0.0,0,0,0.0,0.0,34311,60612-2020-11,POINT (-87.687011 41.88004)
60622,21,05/17/2020,05/23/2020,59,592,112,1121.4,547,2827,1036,5354.9,0.1,0.2,1,47,1.9,89.0,52793,60622-2020-21,POINT (-87.681818 41.902762)
